Title,Season,SeriesID
ICC Cricket World Cup,2014/15,2296039
VB Series,2004/05,7957400
Asia Cup,2004,9144831
Pakistan v Sri Lanka T20I Series,2013/14,1739971
Pakistan in Zimbabwe Test Series,2013,2871972
Videocon Cup,2004,3448280
Paktel Cup,2004/05,9290548
World T20,2013/14,1188371
Women's World T20,2013/14,7618483
PCB Qatar Women's 20-over Tri-Series,2013/14,2268787
Pakistan v Australia Test Series,2014/15,7462848
Pakistan v New Zealand Test Series,2014/15,9706611
Pakistan in Sri Lanka Test Series,2014,3225020
Pakistan Women in Australia T20I Series,2014,7442111
Asian Games Women's Cricket Competition,2014/15,9540943
Pakistan Women v Sri Lanka Women T20I Series,2014/15,6172781
Pakistan Women v South Africa Women T20I Series,2014/15,1967332
Pakistan in Bangladesh ODI Series,2015,9800769
Zimbabwe in Pakistan T20I Series,2015,5940515
Pakistan Women in West Indies T20I Series,2015/16,4789586
Pakistan in England Test Series,2016,2303001
Pakistan in England ODI Series,2016,1339702
Bangladesh Women in Pakistan T20I Series,2015/16,6307742
Bangladesh Women in Pakistan ODI Series,2015/16,6230462
